Title,URL,Document ID,Authors,Conference/Journal,Year,Code Link,Code Context
Using GIS-Based Spatial Analysis: Comparing Pattern of Urbanization and Transportation Networks,https://ieeexplore.ieee.org/document/9902095/,9902095,Jirattikan Ammapa; Pisinee Visuttiporn; Jirawan Klaylee; Sararad Chayphong; Pawinee Iamtrakul; ; ; ; ; ,2022 10th International Conference on Traffic and Logistic Engineering (ICTLE),2022,,
Coordinated Expansion Planning of EV Charging Stations and Transportation-Distribution Network with Mixed Traffic Flow,https://ieeexplore.ieee.org/document/9783337/,9783337,Hui Lu; Bo Hu; Bo Huang; Congcong Pan; Changzheng Shao; Kaigui Xie; ; ; ; ; ; ,"2022 5th International Conference on Energy, Electrical and Power Engineering (CEEPE)",2022,,
Blockchain in Big Data Security for Intelligent Transportation With 6G,https://ieeexplore.ieee.org/document/9529089/,9529089,Zhili Zhou; Meimin Wang; Jingwang Huang; Shengliang Lin; Zhihan Lv; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Optimal Method of EMU Routing Planning based on Variable Formation,https://ieeexplore.ieee.org/document/9921826/,9921826,Bin Zhang; Yixiang Yue; Xiangyu Su; ; ; ,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),2022,,
Blockchain-Based Secure Communication of Intelligent Transportation Digital Twins System,https://ieeexplore.ieee.org/document/9810813/,9810813,Jun Liu; Lei Zhang; Chunlin Li; Jingpan Bai; Haibin Lv; Zhihan Lv; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Enabling Radio Sensing for Multimodal Intelligent Transportation Systems: From Virtual Testing to Immersive Testbeds,https://ieeexplore.ieee.org/document/9743504/,9743504,Paul Schwarzbach; Jonas Ninnemann; Oliver Michler; ; ; ,2022 2nd IEEE International Symposium on Joint Communications & Sensing (JC&S),2022,,
Construction of Efficient Authenticated Key Agreement Protocol for Intelligent Transportation System,https://ieeexplore.ieee.org/document/10044359/,10044359,Kiranbala Nongthombam; Saurabh Rana; Mohammad S. Obaidat; Deepak Chhikara; Dheerendra Mishra; ; ; ; ; ,2022 2nd International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA),2022,,
Research on Relay Pump and Pipeline Layout Optimization Technology for Ultra-long-distance Slurry Transportation of the Xiaomiaohong Dredging Project,https://ieeexplore.ieee.org/document/10042660/,10042660,Yong Wei; Chaozhe Yuan; Ronghui Zhu; Zenghai Yang; ; ; ; ,2022 8th International Conference on Hydraulic and Civil Engineering: Deep Space Intelligent Development and Utilization Forum (ICHCE),2022,,
Resilient Urban Public Transportation Infrastructure: A Comparison of Five Flow-Weighted Metro Networks in Terms of the Resilience Cycle Framework,https://ieeexplore.ieee.org/document/9592719/,9592719,Zizhen Xu; Shauhrat S. Chopra; Hellas Lee; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Analyzing the Railway Operation Network by Evaluating the Importance of Time-Space Nodes,https://ieeexplore.ieee.org/document/9851564/,9851564,Hanxiao Zhou; Leishan Zhou; Bin Guo; Zixi Bai; Zeyu Wang; ; ; ; ; ,IEEE Transactions on Network Science and Engineering,2022,,
